id,ticker,financialGroup,displayName,createdAt,updatedAt
1,A1CAP,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:01:42.581,2025-10-19 22:23:48.606
2,A1YEN,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:01:47.537,2025-10-19 22:23:49.963
3,ACSEL,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:01:52.815,2025-10-19 22:23:51.961
4,ADEL,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:01:55.013,2025-10-19 22:23:53.527
5,ADESE,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:01:56.582,2025-10-19 22:23:54.612
6,ADGYO,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:01:58,2025-10-19 22:23:55.943
7,AEFES,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:01:59.425,2025-10-19 22:23:57.408
8,AFYON,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:02:00.501,2025-10-19 22:23:58.764
9,AGESA,UFRS_K,Konsolide UFRS,2025-10-19 20:02:02.038,2025-10-19 22:24:00.306
10,AGHOL,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:02:03.475,2025-10-19 22:24:01.401
11,AGROT,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:02:04.893,2025-10-19 22:24:02.76
12,AGYO,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:02:06.334,2025-10-19 22:24:04.139
13,AHGAZ,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:02:07.7,2025-10-19 22:24:05.606
14,AHSGY,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:02:09.063,2025-10-19 22:24:07.028
15,AKBNK,UFRS_K,Konsolide UFRS,2025-10-19 20:02:10.488,2025-10-19 22:24:08.696
16,AKCNS,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:02:11.691,2025-10-19 22:24:10.224
17,AKENR,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:02:13.042,2025-10-19 22:24:11.72
18,AKFGY,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:02:14.43,2025-10-19 22:24:13.199
19,AKFIS,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:02:15.826,2025-10-19 22:24:14.607
20,AKFYE,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:02:17.223,2025-10-19 22:24:16.059
1201,AKGRT,UFRS_K,Konsolide UFRS,2025-10-19 22:10:31.234,2025-10-19 22:24:17.621
